Mixed_Flock,Localidade,Latitude,Longitude,Fitofisionomia,Ecoregion,Temp,Prec,Alt,npp,evapo,Located,Edge
324,Maracaju,-21.870718,-55.399635,galeria_ciliar,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
325,Maracaju,-21.870718,-55.399635,seasonal_forest,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
130,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
131,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
132,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
133,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
134,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
135,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
136,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
137,Laguna_Caraapa,-22.855698,-55.006904,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,edge,1
138,Laguna_Caraapa,-22.855698,-55.006904,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
139,Laguna_Caraapa,-22.855698,-55.006904,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
140,Laguna_Caraapa,-22.855698,-55.006904,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
141,Laguna_Caraapa,-22.855698,-55.006904,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
142,Laguna_Caraapa,-22.855698,-55.006904,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,interior,0
2,Jardim,-21.43,-56.43,galeria_ciliar,Cerrado,237,1363,294,0.755999982,102.8632965,interior,0
4,Jardim,-21.43,-56.43,galeria_ciliar,Cerrado,237,1363,294,0.755999982,102.8632965,interior,0
7,Jardim,-21.43,-56.43,galeria_ciliar,Cerrado,237,1363,294,0.755999982,102.8632965,edge,1
8,Jardim,-21.43,-56.43,galeria_ciliar,Cerrado,237,1363,294,0.755999982,102.8632965,edge,1
10,Jardim,-21.43,-56.43,galeria_ciliar,Cerrado,237,1363,294,0.755999982,102.8632965,edge,1
5,Jardim,-21.43,-56.43,cerradao,Cerrado,237,1363,294,0.755999982,102.8632965,interior,0
6,Jardim,-21.43,-56.43,cerradao,Cerrado,237,1363,294,0.755999982,102.8632965,edge,1
10b,Jardim,-21.43,-56.43,cerradao,Cerrado,237,1363,294,0.755999982,102.8632965,edge,1
303,Iguatemi,-23.558759,-54.643542,cerradao,Cerrado,219,1581,346,0.541999996,93.70300293,interior,0
305,Iguatemi,-23.558759,-54.643542,cerradao,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
304,Iguatemi,-23.558759,-54.643542,cerradao,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
301,Iguatemi,-23.558759,-54.643542,galeria_ciliar,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
302,Iguatemi,-23.558759,-54.643542,seasonal_forest,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
306,Iguatemi,-23.558759,-54.643542,galeria_ciliar,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
307,Iguatemi,-23.558759,-54.643542,seasonal_forest,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
308,Iguatemi,-23.558759,-54.643542,seasonal_forest,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
309,Iguatemi,-23.558759,-54.643542,seasonal_forest,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
310,Iguatemi,-23.558759,-54.643542,seasonal_forest,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
304b,Iguatemi,-23.558759,-54.643542,cerradao,Cerrado,219,1581,346,0.541999996,93.70300293,edge,1
66,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
68,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,interior,0
69,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,interior,0
70,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
71,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
72,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
73,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
75,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
76,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,interior,0
78,Eldorado,-23.752443,-54.109198,seasonal_forest,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,edge,1
228,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
229,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,edge,1
230,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
231,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
232,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
233,Diamante,-22.605947,-52.882494,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
234,Diamante,-22.605947,-52.882494,seasonal_forest,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,interior,0
235,Diamante,-22.605947,-52.882494,galeria_ciliar,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,edge,1
118,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
119,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
120,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
122,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
123,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
124,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
125,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
